 Rank, Name, Year, Rating
1,1.It's a Wonderful Life(1946),(1946),8.6
2,2.Die Hard(1988),(1988),8.2
3,3.A Christmas Carol(1951),(1951),8.1
4,4.Home Alone(1990),(1990),7.7
5,5.Rudolph the Red-Nosed Reindeer(1964 TV Movie),(1964 ),8
6,6.Christmas Vacation(1989),(1989),7.5
7,7.A Christmas Story(1983),(1983),7.9
8,8.Miracle on 34th Street(1947),(1947),7.9
9,9.Elf(2003),(2003),7
10,10.Gremlins(1984),(1984),7.3
11,11.Bad Santa(2003),(2003),7.1
12,12.Scrooged(1988),(1988),6.9
13,13.Edward Scissorhands(1990),(1990),7.9
14,14.Trading Places(1983),(1983),7.5
15,15.The Santa Clause(1994),(1994),6.5
16,16.Joyeux Noel(2005),(2005),7.7
17,17.The Nightmare Before Christmas(1993),(1993),7.9
18,18.The Shop Around the Corner(1940),(1940),8
19,19.A Charlie Brown Christmas(1965 TV Movie),(1965 ),8.3
20,20.A Christmas Story Christmas(2022),(2022),6.9
21,21.Happiest Season(2020),(2020),6.6
22,22.Violent Night(2022),(2022),7.1
23,23.Love Actually(2003),(2003),7.6
24,24.The Polar Express(2004),(2004),6.6
25,25.Silent Night(2002 TV Movie),(2002 ),7.5
26,26.The Christmas Chronicles(2018),(2018),7
27,27.8-Bit Christmas(2021),(2021),6.7
28,28.Batman Returns(1992),(1992),7.1
29,29.The Night Before(II) (2015), (2015),6.3
30,30.Remember the Night(1940),(1940),7.6
31,31.Black Christmas(1974),(1974),7.1
32,32.How the Grinch Stole Christmas!(1966 TV Movie),(1966 ),8.3
33,33.Last Christmas(2019),(2019),6.5
34,34.The Ref(1994),(1994),6.9
35,35.The Family Man(2000),(2000),6.8
36,36.A Boy Called Christmas(2021),(2021),6.7
37,37.Krampus(I) (2015), (2015),6.2
38,38.Better Watch Out(II) (2016), (2016),6.5
39,39.Prancer(1989),(1989),6.4
40,40.White Christmas(1954),(1954),7.5
41,41.Shazam!(2019),(2019),7
42,42.The Year Without a Santa Claus(1974 TV Movie),(1974 ),7.8
43,43.The Disappearance of Haruhi Suzumiya(2010),(2010),8
44,"44.Lovely, Still(2008)",(2008),7.1
45,45.Jingle All the Way(1996),(1996),5.7
46,46.Santa Claus Is Comin' to Town(1970 TV Movie),(1970 ),7.7
47,47.The Bishop's Wife(1947),(1947),7.6
48,48.Just Friends(I) (2005), (2005),6.2
49,49.The Snowman(1982 TV Short),(1982 ),8.2
50,50.Surviving Christmas(2004),(2004),5.4
51,51.The Little Drummer Boy(1968 TV Movie),(1968 ),7
52,52.Serendipity(2001),(2001),6.8
53,53.The House Without a Christmas Tree(1972 TV Movie),(1972 ),8
54,54.The Nativity Story(2005),(2005),6.8
55,55.Christmas in Boston(2005 TV Movie),(2005 ),6.1
56,56.A Christmas Tale(2008),(2008),7
57,57.Christmas in Connecticut(1945),(1945),7.4
58,58.Fatman(2020),(2020),5.9
59,59.Noel(2004),(2004),6.1
60,60.Christmas with the Kranks(2004),(2004),5.4
61,61.Holiday Affair(1949),(1949),7.2
62,62.Arthur Christmas(2011),(2011),7.1
63,63.Crown for Christmas(2015 TV Movie),(2015 ),6.9
64,64.One Magic Christmas(1985),(1985),6.4
65,65.Beyond Tomorrow(1940),(1940),6.5
66,66.12 Dates of Christmas(2011 TV Movie),(2011 ),6.3
67,67.Kristin's Christmas Past(2013 TV Movie),(2013 ),6.2
68,68.The Lemon Drop Kid(1951),(1951),7
69,69.The Christmas Card(2006 TV Movie),(2006 ),6.9
70,70.12 Days of Giving(2017 TV Movie),(2017 ),6
71,71.It Happened on Fifth Avenue(1947),(1947),7.6
72,72.A Very Harold & Kumar Christmas(2011),(2011),6.2
73,73.Operation Christmas Drop(2020),(2020),5.8
74,74.Trapped in Paradise(1994),(1994),5.9
75,75.Nativity!(2009),(2009),6.4
76,76.Holiday in Handcuffs(2006 TV Movie),(2006 ),6.1
77,77.Frosty the Snowman(1969 TV Short),(1969 ),7.3
78,78.Mixed Nuts(1994),(1994),5.4
79,79.Mrs. Miracle(2009 TV Movie),(2009 ),6.7
80,80.Nothing Like the Holidays(2008),(2008),6.1
81,81.Friday After Next(2002),(2002),5.7
82,"82.Next Stop, Christmas(2021 TV Movie)",(2021 ),7.1
83,83.Pete's Christmas(2013 TV Movie),(2013 ),6
84,84.November Christmas(2010 TV Movie),(2010 ),7.5
85,85.Deck the Halls(2006),(2006),5
86,86.I'll Be Home for Christmas(1998),(1998),5.5
87,87.A Boyfriend for Christmas(2004 TV Movie),(2004 ),6.4
88,88.Four Christmases(2008),(2008),5.7
89,89.The Most Wonderful Time of the Year(2008 TV Movie),(2008 ),7.2
90,90.Grumpy Cat's Worst Christmas Ever(2014 TV Movie),(2014 ),5
91,91.A Season for Miracles(1999 TV Movie),(1999 ),7.6
92,92.The Christmas Shoes(2002 TV Movie),(2002 ),6.6
93,93.A Grandpa for Christmas(2007 TV Movie),(2007 ),6.8
94,94.Christmas Mail(2010),(2010),5.4
95,95.All I Want Is Christmas(2012),(2012),5.4
96,96.Window Wonderland(2013 TV Movie),(2013 ),6.7
97,97.Ernest Saves Christmas(1988),(1988),5.6
98,98.All I Want for Christmas(1991),(1991),5.9
99,99.The Ultimate Christmas Present(2000 TV Movie),(2000 ),5.7
100,100.Jack Frost(1998),(1998),5.4
